STT,User,Tên bộ dữ liệu,Kiểu dữ liệu,Ngày cập nhật,Trạng thái,Thao tác,Ghi chú
1,User01,khach_hang_moi,Định lượng,1/10/2025,Hoàn thành,abcde,...
2,User02,khach_hang_moi,Định lượng,2/10/2025,Hoàn thành,abcde,...
3,User03,khach_hang_moi,Định lượng,3/10/2025,Hoàn thành,abcde,...
4,User04,khach_hang_moi,Định lượng,4/10/2025,Hoàn thành,abcde,...
5,User05,khach_hang_moi,Định lượng,5/10/2025,Hoàn thành,abcde,...
6,User06,khach_hang_moi,Định lượng,6/10/2025,Hoàn thành,abcde,...
7,User07,khach_hang_moi,Định lượng,7/10/2025,Hoàn thành,abcde,...
8,User08,khach_hang_moi,Định tính,8/10/2025,Đang xử lý,abcde,...
9,User09,khach_hang_moi,Định tính,9/10/2025,Đang xử lý,abcde,...
10,User10,khach_hang_moi,Định tính,10/10/2025,Đang xử lý,abcde,...
11,User11,khach_hang_moi,Định tính,11/10/2025,Đang xử lý,abcde,...
12,User12,khach_hang_moi,Định tính,12/10/2025,Đang xử lý,abcde,...
13,user15,khach_hang_cu,Định tính,11/11/2025,Đang xử lý,abcde,chú chú
14,111,dd,Định tính,1111-11-12,Hoàn thành,hhh,...
