customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15561914,562,Spain,Male,71,9,0.0,2,0,0,176284.13,1
15628745,814,France,Male,53,6,182648.92,4,0,0,54669.81,1
15558304,452,France,Female,42,2,162648.25,4,0,1,83435.4,0
15592702,720,France,Male,35,10,0.0,3,0,1,131754.93,0
15744481,833,Germany,Male,46,3,47547.2,1,0,1,74649.7,1
15703184,462,France,Male,20,1,174259.8,3,1,0,174043.12,0
15573394,804,Germany,Female,20,8,20802.08,4,1,1,8200.63,1
15751523,402,France,Male,28,10,154787.12,4,0,1,256.15,1
15710458,848,Spain,Male,57,6,79486.62,1,0,1,159515.97,1
15501889,482,France,Female,25,1,0.0,2,1,1,71185.74,1
15636611,496,France,Male,24,10,44556.03,3,0,0,124458.11,1
15766543,764,France,Male,49,7,0.0,3,0,1,65462.27,0
15767097,472,Germany,Male,44,4,0.0,2,1,1,98634.46,1
15523103,368,France,Male,55,3,151895.11,3,1,1,182759.13,1
15757897,713,France,Male,74,0,48549.88,4,0,1,105464.42,1
15756585,620,France,Male,24,1,201513.76,3,1,1,124003.64,0
1s5639836,695,Spain,Female,41,8,152450.61,4,0,1,143079.75,0
15501776,502,Germany,Male,19,8,77341.89,1,1,0,74053.89,0
15785494,508,Spain,Male,41,0,38814.22,4,1,0,35814.14,0
15729254,700,France,Male,19,0,0.0,3,0,0,178442.82,1
15628570,480,France,Female,64,0,0.0,3,1,0,57854.34,0
15574673,691,France,Female,46,4,95745.02,1,0,1,91296.61,1
15793894,523,France,Male,51,3,244230.08,4,1,0,194265.95,0
15644349,469,Spain,Male,34,1,224851.67,1,0,0,143502.9,0
15770978,807,Germany,Female,26,6,29751.1,4,1,0,18533.91,1
15773949,560,France,Female,19,4,0.0,1,1,1,168766.61,0
15585159,526,France,Male,56,10,192893.49,3,1,0,25287.77,0
15698210,401,France,Female,34,7,142719.93,4,1,0,82861.43,0
15781693,644,France,Female,20,6,89956.23,4,0,1,110908.14,0
15565309,689,France,Female,65,1,123075.85,2,0,0,50273.43,0
15500185,481,France,Male,26,5,0.0,1,0,0,81465.97,0
