customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15600001,3,767,Spain,0,43,1.0,132454,1,1,0.0,163806
15600002,1,643,France,0,37,6.0,0,2,0,0.0,106517
15600003,2,633,Spain,0,34,5.0,116499,1,1,1.0,65902
15600004,1,681,Spain,0,38,1.0,0,2,1,0.0,123984
15600005,3,674,Germany,0,45,7.0,125082,1,1,1.0,18903
15600006,2,716,France,0,56,8.0,124354,1,1,1.0,180324
15600007,1,664,Germany,0,31,2.0,110255,2,0,0.0,107054
15600008,3,710,Germany,0,33,7.0,112185,1,1,0.0,88004
15600009,1,725,Spain,0,26,4.0,0,2,1,1.0,192569
15600010,2,781,France,0,41,6.0,0,2,1,0.0,67735
15600011,2,556,France,0,39,10.0,0,2,1,1.0,118999
15600012,3,568,France,0,37,1.0,0,2,1,1.0,12347
15600013,1,681,France,0,45,8.0,0,1,1,1.0,167198
15600014,3,638,Spain,0,36,6.0,152399,1,1,1.0,129215
15600015,2,537,Spain,0,27,10.0,131610,1,1,0.0,119934
15600016,1,723,France,0,35,4.0,0,2,0,0.0,16634
15600017,1,756,Spain,0,29,7.0,112643,1,1,0.0,13337
15600018,2,612,Germany,0,57,5.0,142274,1,1,1.0,162125
15600019,1,749,Germany,0,32,4.0,103138,1,0,0.0,133646
15600020,3,623,Spain,0,41,1.0,120158,1,1,1.0,125712
15600021,2,631,France,0,51,10.0,0,2,1,1.0,128522
15600022,1,701,Spain,0,42,8.0,0,2,1,1.0,131758
15600023,3,724,Germany,0,44,1.0,114660,1,1,1.0,12013
15600024,2,729,France,0,28,9.0,0,1,1,0.0,38190
15600025,1,666,Spain,0,35,4.0,136582,1,1,0.0,112933
15600026,3,656,Germany,0,38,10.0,148674,2,1,1.0,120610
15600027,2,572,Spain,0,46,6.0,0,1,1,1.0,28308
15600028,1,680,France,0,42,4.0,0,2,1,1.0,90587
15600029,2,646,Germany,0,40,7.0,126135,1,1,1.0,34839
15600030,3,763,Spain,0,33,3.0,131238,2,1,0.0,178354
15600031,1,739,Germany,0,47,7.0,137021,1,1,0.0,29610
15600032,2,625,France,0,38,10.0,0,2,0,1.0,127685
15600033,3,732,Germany,0,38,6.0,104886,1,1,1.0,11197
15600034,1,591,France,0,43,10.0,0,2,1,1.0,102324
15600035,2,593,Spain,0,31,2.0,99203,1,1,0.0,51275
15600036,3,607,Germany,0,33,7.0,114713,1,0,0.0,19859
15600037,1,629,France,0,43,7.0,0,1,0,0.0,131349
15600038,2,678,France,0,26,4.0,0,2,1,0.0,105315
15600039,3,733,France,0,33,6.0,0,2,1,0.0,186981
15600040,1,501,France,0,44,4.0,0,2,1,0.0,142718
15600041,2,597,Spain,0,53,8.0,141753,1,1,1.0,10787
15600042,3,644,Germany,0,54,7.0,105175,1,1,1.0,135234
15600043,1,627,France,0,33,7.0,0,2,1,1.0,10505
15600044,2,714,Germany,0,33,8.0,122391,1,1,0.0,15787
15600045,3,618,France,0,41,6.0,0,2,1,1.0,83391
15600046,1,792,France,0,39,10.0,0,2,1,1.0,155160
15600047,2,539,Germany,0,41,2.0,109943,1,1,1.0,14967
15600048,3,814,France,0,46,6.0,0,2,0,1.0,85418
15600049,1,720,Spain,0,39,6.0,0,2,1,0.0,178738
15600050,2,721,France,0,34,5.0,0,2,1,1.0,15478
15600051,3,649,Germany,0,30,5.0,108719,1,1,0.0,1472
15600052,1,768,Spain,0,62,4.0,0,2,1,1.0,192562
15600053,2,610,Spain,0,29,1.0,123783,1,1,0.0,17500
15600054,3,655,France,0,44,8.0,131657,1,0,1.0,16213
15600055,1,760,Germany,0,38,8.0,146098,2,1,1.0,118558
15600056,2,637,Spain,0,35,7.0,126848,1,1,1.0,7578
15600057,3,588,France,0,36,5.0,130611,1,1,0.0,7662
15600058,1,655,Spain,0,36,1.0,106516,1,1,1.0,151528
15600059,2,621,Germany,0,47,7.0,125039,1,1,1.0,135500
15600060,3,707,Spain,0,47,10.0,119435,1,1,1.0,673
15600061,1,559,France,0,43,10.0,131140,1,1,0.0,163574
15600062,2,623,Spain,0,44,7.0,0,2,1,1.0,41716
15600063,3,711,France,0,37,1.0,0,1,1,0.0,171612
15600064,1,619,France,0,45,3.0,0,2,0,0.0,29830
15600065,2,583,Spain,0,37,9.0,0,1,0,0.0,10381
15600066,3,668,Germany,0,39,6.0,163884,1,1,0.0,16922
15600067,1,673,Spain,0,34,8.0,120320,1,1,1.0,117650
15600068,2,669,France,0,43,1.0,0,2,1,1.0,189038
15600069,3,766,France,0,37,10.0,0,1,1,0.0,152813
15600070,1,712,Germany,0,54,3.0,109315,1,1,1.0,133310
15600071,2,713,Germany,0,51,9.0,148737,2,1,1.0,10243
15600072,3,677,Germany,0,38,10.0,106679,1,1,1.0,188291
15600073,1,609,Germany,0,33,7.0,113423,2,1,1.0,101614
15600074,2,709,Germany,0,35,5.0,120100,1,1,1.0,185206
15600075,3,543,Spain,0,34,5.0,108514,1,0,0.0,136815
15600076,1,731,Spain,0,43,2.0,143825,1,1,1.0,28080
15600077,2,683,France,0,35,1.0,0,2,1,1.0,170889
15600078,3,802,Germany,0,36,7.0,125370,1,1,0.0,154298
15600079,1,555,Spain,0,32,1.0,0,1,0,0.0,6775
15600080,2,665,France,0,37,8.0,131758,1,1,1.0,15486
15600081,3,702,Spain,0,41,8.0,0,2,1,1.0,192078
15600082,1,765,Germany,0,42,8.0,106399,1,1,0.0,105557
15600083,2,627,France,0,31,9.0,0,1,1,1.0,100140
15600084,3,668,France,0,43,5.0,0,2,1,1.0,154139
15600085,1,404,Spain,0,32,2.0,0,1,0,0.0,132386
15600086,2,735,France,0,34,10.0,0,2,0,1.0,6583
15600087,3,708,Spain,0,32,3.0,0,2,1,0.0,16182
15600088,1,634,France,0,40,7.0,0,2,1,1.0,118464
15600089,2,718,Spain,0,37,1.0,135969,1,1,1.0,110497
15600090,3,760,Germany,0,39,8.0,137466,1,1,0.0,16503
15600091,1,524,Spain,0,40,6.0,0,1,1,1.0,10530
15600092,2,681,France,0,41,6.0,117023,1,1,1.0,171638
15600093,3,677,Germany,0,51,3.0,116239,1,1,1.0,102220
15600094,1,684,France,0,24,4.0,0,1,1,1.0,90906
15600095,2,551,Spain,0,35,10.0,0,1,1,1.0,88566
15600096,3,648,France,0,57,1.0,0,2,1,1.0,198305
15600097,1,723,France,0,40,5.0,0,2,1,0.0,10738
15600098,2,636,Germany,0,32,8.0,131534,2,1,1.0,12613
15600099,3,715,France,0,37,6.0,111883,1,1,0.0,77443
15600100,1,686,Germany,0,31,2.0,137239,1,1,1.0,118933
