customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
1,1,619,France,0,42,2.0,0,1,1,1.0,0
2,1,608,Spain,0,41,1.0,83807,1,0,1.0,1
3,1,502,France,0,42,8.0,159660,3,1,0.0,1
5,1,850,Spain,0,43,2.0,125510,1,1,1.0,1
6,1,645,Spain,0,44,8.0,113755,2,1,0.0,1
7,1,822,France,0,50,7.0,0,2,1,1.0,0
8,1,376,Germany,0,29,4.0,115046,4,1,0.0,1
9,1,501,France,0,44,4.0,142051,2,0,1.0,1
10,1,684,France,0,27,2.0,134603,1,1,1.0,1
11,2,528,France,0,31,6.0,102016,2,0,0.0,1
12,2,752,Spain,0,38,1.0,0,2,1,0.0,0
13,2,476,France,0,34,10.0,0,2,1,0.0,0
14,2,549,France,0,25,5.0,0,2,0,0.0,0
15,2,635,Spain,0,35,7.0,0,2,1,1.0,0
16,2,850,Spain,0,45,9.0,0,2,1,1.0,0
17,2,806,Spain,0,36,3.0,117366,2,1,1.0,1
18,2,732,France,0,41,6.0,0,2,1,1.0,0
19,2,614,Germany,0,40,4.0,68553,1,1,1.0,1
20,2,756,France,0,32,3.0,0,1,1,0.0,0
21,1,602,Germany,0,45,5.0,142203,1,0,1.0,1
22,1,823,France,0,36,8.0,0,2,1,1.0,0
23,1,677,France,0,37,1.0,0,2,1,0.0,0
24,1,563,Spain,0,34,3.0,0,2,1,1.0,0
25,1,653,Germany,0,58,1.0,132602,1,1,0.0,1
26,1,775,France,0,37,0.0,103321,1,1,0.0,0
27,1,790,Germany,0,33,3.0,134700,1,1,0.0,1
28,1,638,France,0,34,5.0,0,2,1,1.0,0
29,1,667,Spain,0,34,7.0,0,2,1,1.0,0
30,1,722,Spain,0,39,1.0,0,2,1,0.0,0
31,2,591,Spain,0,39,3.0,0,3,1,0.0,0
32,2,533,France,0,36,7.0,85311,1,0,1.0,1
33,2,553,Spain,0,41,9.0,0,1,0,0.0,0
34,2,520,France,0,42,6.0,0,2,1,1.0,0
35,2,750,France,0,42,2.0,0,1,1,1.0,0
36,2,411,France,0,30,3.0,0,2,1,0.0,0
37,2,569,France,0,34,7.0,0,2,1,1.0,0
38,2,804,Spain,0,37,9.0,111773,1,1,1.0,1
39,2,850,France,0,34,1.0,131373,1,1,0.0,1
40,2,582,Germany,0,38,9.0,137268,1,1,1.0,1
41,1,465,France,0,38,10.0,0,1,0,0.0,0
42,1,556,Spain,0,32,1.0,109348,2,1,1.0,1
43,1,834,France,0,38,5.0,131013,2,1,0.0,1
44,1,663,Spain,0,39,6.0,0,1,0,1.0,0
45,1,776,Germany,0,32,4.0,106575,1,1,1.0,1
46,1,828,Germany,0,36,1.0,139994,2,0,0.0,1
47,1,637,Germany,0,39,8.0,137843,1,1,1.0,1
48,1,577,France,0,29,5.0,0,1,1,0.0,0
49,1,727,Germany,0,36,2.0,157973,1,1,1.0,1
50,1,769,France,0,35,0.0,0,2,1,1.0,0
51,2,625,Germany,0,45,1.0,123565,1,0,1.0,1
52,2,656,France,0,38,10.0,0,2,1,1.0,0
